protein.key,protein.Entry,protein.Accession,protein.Description,protein.dataBaseType,protein.score,protein.falsePositiveRate,protein.avgMass,protein.MatchedProducts,protein.matchedPeptides,protein.digestPeps,protein.seqCover(%),protein.MatchedPeptideIntenSum,protein.top3MatchedPeptideIntenSum,protein.MatchedProductIntenSum,protein.fmolOnColumn,protein.ngramOnColumn,protein.AutoCurate,protein.Key_ForHomologs
58259,A0A0U1WN54_HUMAN,A0A0U1WN54,Killer cell immunoglobulin-like receptor OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50915.7014,23,13,30,16.48,81639,0,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
49272,A0A0G2JLZ4_HUMAN,A0A0G2JLZ4,Killer cell immunoglobulin-like receptor 3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50895.6703,23,13,29,16.48,81639,0,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
44541,A0A0G2JLX7_HUMAN,A0A0G2JLX7,Killer cell immunoglobulin-like receptor 3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,49181.8921,23,13,29,17.12,81639,0,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
40980,A0A0G2JMS0_HUMAN,A0A0G2JMS0,Killer cell immunoglobulin-like receptor 3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,49186.9116,23,13,30,17.12,81639,2358,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
32146,Q8NHK6_HUMAN,Q8NHK6,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=2 SV=1,Regular,606.3807,0.00,50895.6703,23,13,29,16.48,81639,0,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
26556,A0A0U1WNF3_HUMAN,A0A0U1WNF3,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50914.7167,23,13,30,16.48,81639,0,12194,,,Green,1036 22250 22619 23664 26175 26400 26528 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
26175,A0A0U1WNF2_HUMAN,A0A0U1WNF2,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50881.6434,23,13,29,16.48,81639,0,12194,,,Green,1036 22250 22619 23664 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
22619,A0A0U5GHD6_HUMAN,A0A0U5GHD6,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50900.6898,23,13,30,16.48,81639,0,12194,,,Green,1036 22250 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
22250,A0A0U5GHC2_HUMAN,A0A0U5GHC2,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,606.3807,0.00,50909.6972,23,13,29,16.48,81639,0,12194,,,Green,1036 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
1036,KI3L2_HUMAN,P43630,Killer cell immunoglobulin-like receptor 3DL2 OS=Homo sapiens GN=KIR3DL2 PE=2 SV=1,Regular,606.3807,0.00,50914.7167,23,13,30,16.48,82068,0,12194,,,Green,22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
